Developer,Platform,Candiate Type,Dose Count,Dose Timing,Route,Phase 1 Desc,Phase 1/2 Desc,Phase 2 Desc,Phase 3 Desc,Clinical Phase,Clinical Stage,Coronavirus Target,Shared Platforms
University of Tokyo/Daiichi-Sankyo,RNA,LNP-encapsulated mRNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,MERS
BIOCAD,RNA,Liposome-encapsulated mRNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"RNAimmune, Inc.",RNA,Several mRNA candidates,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",RNA,mRNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
China CDC/Tongji University/Stermina,RNA,mRNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Chula Vaccine Research Center/University of Pennsylvania,RNA,LNP-mRNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
eTheRNA,RNA,mRNA in an intranasal delivery system,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Greenlight Biosciences,RNA,mRNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"IDIBAPS-Hospital Clinic, Spain",RNA,mRNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Bezmialem Vakif University,VLP,VLP,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Middle East Technical University,VLP,VLP,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
VBI Vaccines Inc.,VLP,Enveloped Virus-Like Particle (eV/LP),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,"SARS-CoV2, SARS-CoV, & MERS-CoV","CMV, GBM, Zika"
IrsiCaixa AIDS Research/IRTA-CReSA/Barcelona Supercomputing Centre/Grifols,VLP,S protein integrated in HIV VLPS,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Mahidol University/ The Government Pharmaceutical Organization (GPO)/Siriraj Hospital,VLP,VLP + Adjuvant,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"Navarrabiomed, Oncoimmunology group",VLP,"Virus-like particles, lentivirus and baculovirus vehicles",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Saiba GmbH,VLP,"Virus-like particle, based on RBD displayed on virus-like particles",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Imophoron Ltd and Bristol University's Max Planck Centre,VLP,ADDomerTM multiepitope display,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Doherty Institute,VLP,Unknown,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
OSIVAX,VLP,VLP,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV1 SARS-CoV2,
ARTES Biotechnology,VLP,eV/LP,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,malaria
Univ. of Sao Paulo,VLP,VLPS peptides/whole virus,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
